date,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2016-1-2T12Z,100,63,56,100,27,49,37,69,86,51,86,55,81,73,85,82,73,79,79,69,86,76,86,94,73,68,59,68,79,63,100,54,38,81,81,76
2016-1-2T13Z,92,54,86,100,31,73,68,71,85,40,86,60,81,73,85,77,85,79,92,68,80,87,86,88,73,74,64,50,73,68,100,76,33,87,87,76
2016-1-2T14Z,100,54,86,100,29,73,68,71,73,55,86,64,75,79,85,74,85,86,79,68,80,82,55,88,73,80,55,50,74,55,100,71,38,87,87,71
2016-1-2T15Z,92,58,56,100,29,60,40,71,73,40,86,60,70,74,85,64,73,74,74,64,80,76,48,74,74,82,47,59,79,55,100,71,100,87,87,81
2016-1-2T16Z,92,57,57,100,29,53,39,65,71,40,93,45,61,79,73,59,73,52,74,65,69,81,36,69,74,81,55,47,74,47,95,87,100,75,75,87
2016-1-2T17Z,100,54,64,100,29,33,37,49,68,44,93,46,62,79,73,59,73,52,74,65,69,80,36,69,73,80,55,44,80,47,98,87,100,100,100,87
2016-1-2T18Z,100,47,44,100,23,33,37,49,58,26,86,39,65,55,63,59,74,36,75,65,69,72,34,74,74,79,52,43,80,47,98,87,100,100,100,87
2016-1-2T19Z,100,40,42,69,17,23,25,46,55,21,86,39,100,52,58,45,74,34,64,60,64,67,29,69,59,74,56,41,82,43,98,87,100,100,100,87
2016-1-2T20Z,100,41,43,70,17,23,25,45,57,22,87,41,100,53,59,45,76,35,64,60,65,67,31,68,58,69,55,41,82,47,98,81,100,100,100,81
2016-1-2T21Z,100,38,36,55,17,25,27,25,51,12,87,36,100,48,58,42,100,27,69,60,59,67,31,74,68,69,52,41,82,43,97,80,100,100,100,80
2016-1-2T22Z,100,35,36,53,18,27,27,24,47,12,86,39,66,39,62,39,100,29,73,61,66,77,45,78,61,69,55,44,82,61,95,76,100,100,100,76
