date,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver
2.01301E+11,272.91,273.15,279.01,273.23,284.64,285.85,276.54,283,266.67,270.77
2.01301E+11,273.98,274.95,281.47,275.36,286.91,287.74,278.68,285.43,269.05,272.43
2.01301E+11,275.05,276.19,283.04,276.94,289.48,288.83,280.87,287.35,270.49,272.45
2.01301E+11,276.23,277.11,283.97,278.81,290.25,289.49,281.81,288.23,271.88,272.65
2.01301E+11,277.11,277.77,284.59,279.58,290.69,289.91,281.87,288.8,272.67,272.1
2.01301E+11,277.28,277.84,284.96,280.31,291.25,290.12,282.4,289.46,273.33,272.46
2.01301E+11,277.43,276.36,285.32,280,289.79,289.13,282.47,289.16,272,271.25
2.01301E+11,275.94,275.87,284.83,278.29,289.47,287.88,282.82,288.11,271.02,268.36
2.01301E+11,275.26,274.9,283.38,277.39,287.68,286.37,280.85,285.42,268.84,267.23
2.01301E+11,274.16,274.65,281.72,275.71,285.91,284.88,278.8,283.83,268.7,266.52
2.01301E+11,274.32,274.56,280.75,275.28,284.67,282.72,278.26,282.39,265.3,264.7
2.01301E+11,273.8,274.51,279.1,275,283.19,281.95,279.25,281.16,265.1,264.41
2.01301E+11,273.47,273.6,278.73,274.4,282.72,281.12,277.59,280.93,262.95,264.49
2.01301E+11,273.17,273.27,277.82,274.2,282.05,280.41,277.48,280.78,264.56,264.3
2.01301E+11,272.65,272.83,277.18,274.3,281.53,279.78,276.55,280.59,263.84,265.2
2.01301E+11,272.63,272.18,277.45,273.35,280.61,279.06,276.32,278.77,264.56,265.03
2.01301E+11,272.55,272.04,276.68,273.03,280.37,278.93,276.16,279.83,263.99,264.66
2.01301E+11,271.5,272.1,275.84,272.76,279.84,278.92,275.98,280.63,263.99,264.11
2.01301E+11,272.14,272.31,275.13,272.19,279.08,277.51,274.64,280.4,264.34,263.29
2.01301E+11,271.55,271.92,275.26,271.91,278.21,277.03,274.05,279.49,263.88,262.06
2.01301E+11,271.49,271.72,274.48,271.65,278.81,277.41,273.95,279.24,263.92,261.87
2.01301E+11,271.83,271.98,273.99,271.05,278.94,277.44,273.68,279.31,262.91,262.05
