Username,Timestamp,Events,Time Spent,Time Helped
278,2/22/2017 10:30,HW3,5,issue with conditions on hw3 p2 and p4
102,2/22/2017 10:34,HW4,5,confused about indenting & code belonging to blocks
102,2/22/2017 11:17,HW3,3,Incorrect order of action within a sent. loop
278,2/22/2017 11:28,HW3,5,"manipulating print statments/ end =  """""
118,2/22/2017 11:57,HW3,5,"manipulating print statments/ end =  """""
124,2/22/2017 12:11,HW3,5,cleaning file directory and homework parameter clarification
173,2/22/2017 12:57,HW3,5,Needed help thinking through part 2
173,2/22/2017 13:26,HW3,3,Needed help thinking through part 3 and what to use for the while loop
151,2/22/2017 15:03,OTHERS,3,Needed to be walked through lab 3
184,2/22/2017 15:18,HW3,4,Needed help with the hailstone problem 
155,2/22/2017 15:19,HW3,2,"Created a directory instead of a file, wanted to know about comments, and questionable This works but I don't know why it works"
155,2/22/2017 15:36,HW3,2,Repeat?
155,2/22/2017 15:36,HW3,2,Variable naming conventions question
184,2/22/2017 16:15,HW3,3,"Infinite Loop, not updating condition"
120,2/22/2017 16:24,HW3,5,"Not here, told me they signed in 10 minutes before coming in :( "
217,2/23/2017 12:00,HW3,5,Needed help with when to update a variable when to print the box correctly 
310,2/23/2017 12:08,OTHERS,5,Just wanted to double check that his logic for part3 was a valid use of a while loop
316,2/23/2017 12:28,HW3,2,"Understanding what the ' end="" ' was doing when print each character in the line"
162,2/23/2017 12:31,HW3,4,Needed help with how to structure while loops in part4
112,2/23/2017 12:38,HW3,2,
364,2/23/2017 12:58,OTHERS,3,Didn't understand loops within loops
292,2/23/2017 13:02,HW3,3,Didnt understand counters or nested while loops
302,2/23/2017 13:04,HW3,3,Needed help understanding how while loops check values
151,2/23/2017 13:07,HW3,2,Needed help understanding the if/elif
112,2/23/2017 13:41,HW3,3,student left
184,2/23/2017 13:42,HW3,3,Printing inside while loops (had two seperate loops)
297,2/23/2017 14:19,HW3,3,trying to compare to a value that isn't updated in loop
151,2/23/2017 14:22,HW3,2,print(count+=1)
173,2/23/2017 14:23,HW3,5,"needed help seeing the patterns for part 4 (width * height, rows end in width*count, etc)"
364,2/23/2017 14:56,HW3,3,"needed help seeing the patterns for part 4 (width * height, rows end in width*count, etc)"
173,2/23/2017 15:00,HW3,5,part 4 help - going from printing 1 line to all the lines
169,2/23/2017 15:10,HW3,4,"part 3, variables were all over the place. forgot how to update a variable's value"
364,2/23/2017 15:18,HW3,3,"had part 4 started, hopefully i got her on the right track for when to print the new lines"
179,2/23/2017 15:53,OTHERS,3,not here
138,2/23/2017 15:55,HW3,4,Part 1 logic
356,2/23/2017 15:56,HW3,4,Part 4 printing
253,2/23/2017 16:00,HW3,4,Part 2 logic. How to divide? (Use subtraction)
302,2/23/2017 16:01,HW3,3,How to figure out if a number is even (part 3)
190,2/23/2017 16:05,HW3,3,"Had a solution to part 4 that didn't have a while loop, was confused about intended solution"
169,2/23/2017 16:11,HW3,2,Part 4 using a double while loop - he thought of that strategy but had trouble implementing it (syntax)
138,2/23/2017 16:15,HW3,3,confused on when to reprompt for while loop
356,2/23/2017 16:19,HW3,4,confused on printing in part 4
